anio,mes,indice_tiempo,produccion_gas_promedio_dia_mm3
2009,1,2009-01,131223.0108
2009,2,2009-02,132833.2683
2009,3,2009-03,135361.2048
2009,4,2009-04,135493.2462
2009,5,2009-05,135374.433
2009,6,2009-06,138925.0036
2009,7,2009-07,138202.7107
2009,8,2009-08,129584.372
2009,9,2009-09,133147.5679
2009,10,2009-10,132800.7206
2009,11,2009-11,124330.719
2009,12,2009-12,124647.8007
2010,1,2010-01,125291.9886
2010,2,2010-02,129355.2049
2010,3,2010-03,127198.8523
2010,4,2010-04,127155.3983
2010,5,2010-05,132489.8561
2010,6,2010-06,133425.8595
2010,7,2010-07,134204.9951
2010,8,2010-08,133945.6473
2010,9,2010-09,131293.2578
2010,10,2010-10,127844.7607
2010,11,2010-11,123733.9934
2010,12,2010-12,122810.4398
2011,1,2011-01,123127.6133
2011,2,2011-02,123464.2769
2011,3,2011-03,121552.3469
2011,4,2011-04,120424.1253
2011,5,2011-05,124983.183
2011,6,2011-06,127250.6968
2011,7,2011-07,126500.4024
2011,8,2011-08,127734.5317
2011,9,2011-09,127267.9598
2011,10,2011-10,126494.2114
2011,11,2011-11,124746.4882
2011,12,2011-12,123152.0907
2012,1,2012-01,123034.6144
2012,2,2012-02,119525.7353
2012,3,2012-03,121051.796
2012,4,2012-04,122443.5052
2012,5,2012-05,122463.8059
2012,6,2012-06,121631.5468
2012,7,2012-07,121450.0294
2012,8,2012-08,121429.7015
2012,9,2012-09,121263.5517
2012,10,2012-10,119743.9728
2012,11,2012-11,117197.3503
2012,12,2012-12,115386.3768
2013,1,2013-01,114637.1091
2013,2,2013-02,115270.2906
2013,3,2013-03,111604.5693
2013,4,2013-04,112514.3108
2013,5,2013-05,114446.9323
2013,6,2013-06,115042.5101
2013,7,2013-07,114465.5204
2013,8,2013-08,115270.7811
2013,9,2013-09,115381.8983
2013,10,2013-10,114574.8031
2013,11,2013-11,114689.6861
2013,12,2013-12,113447.7634
2014,1,2014-01,114199.7379
2014,2,2014-02,113987.838
2014,3,2014-03,112191.5284
2014,4,2014-04,108534.5693
2014,5,2014-05,114322.0217
2014,6,2014-06,114483.3845
2014,7,2014-07,115302.4072
2014,8,2014-08,114802.4764
2014,9,2014-09,115187.7146
2014,10,2014-10,112332.859
2014,11,2014-11,113981.1924
2014,12,2014-12,114486.3851
2015,1,2015-01,115980.8736
2015,2,2015-02,115334.7765
2015,3,2015-03,116522.9383
2015,4,2015-04,117188.1953
2015,5,2015-05,118383.9212
2015,6,2015-06,118003.3236
2015,7,2015-07,117325.3089
2015,8,2015-08,119862.3423
2015,9,2015-09,117977.1775
2015,10,2015-10,119567.37
2015,11,2015-11,118563.5755
2015,12,2015-12,115718.2363
2016,1,2016-01,119722.9532
2016,2,2016-02,120120.561
2016,3,2016-03,122000.7426
2016,4,2016-04,122919.9962
2016,5,2016-05,124275.5618
2016,6,2016-06,124051.2526
2016,7,2016-07,125626.1141
2016,8,2016-08,124859.5046
2016,9,2016-09,123994.8262
2016,10,2016-10,124615.4016
2016,11,2016-11,121234.0512
2016,12,2016-12,121429.9073
2017,1,2017-01,123096.4935
2017,2,2017-02,116924.3796
2017,3,2017-03,122219.9268
2017,4,2017-04,123286.6342
2017,5,2017-05,122109.8147
2017,6,2017-06,122291.98
2017,7,2017-07,123393.4809
2017,8,2017-08,123822.4888
2017,9,2017-09,123418.4292
2017,10,2017-10,124821.7764
2017,11,2017-11,119194.7988
2017,12,2017-12,123031.2477
2018,1,2018-01,124044.8352
2018,2,2018-02,124838.8269
2018,3,2018-03,125867.8917
2018,4,2018-04,129248.8285
2018,5,2018-05,127273.5219
2018,6,2018-06,132229.3533
2018,7,2018-07,132140.5886
2018,8,2018-08,133805.5192
2018,9,2018-09,131800.1723
2018,10,2018-10,132364.8033
2018,11,2018-11,123229.5065
2018,12,2018-12,128722.1117
2019,1,2019-01,129038.5307
2019,2,2019-02,134663.5763
2019,3,2019-03,129487.2359
2019,4,2019-04,131627.7508
2019,5,2019-05,136960.6187
2019,6,2019-06,139995.6818
2019,7,2019-07,144418.5267
2019,8,2019-08,144422.8122
2019,9,2019-09,137943.1849
2019,10,2019-10,139900.8548
2019,11,2019-11,126984.5387
2019,12,2019-12,126865.6274
2020,1,2020-01,130232.3432
2020,2,2020-02,127716.0395
2020,3,2020-03,126621.2467
2020,4,2020-04,116740.2239
2020,5,2020-05,124471.1384
2020,6,2020-06,126021.7492
2020,7,2020-07,126827.8852
2020,8,2020-08,125672.1428
2020,9,2020-09,122853.7671
2020,10,2020-10,121881.1707
2020,11,2020-11,115727.6233
2020,12,2020-12,113873.2067
2021,1,2021-01,116014.8545
2021,2,2021-02,114579.2255
2021,3,2021-03,114523.9454
2021,4,2021-04,114239.9122
2021,5,2021-05,121286.6333
2021,6,2021-06,127022.8912
2021,7,2021-07,130729.2151
2021,8,2021-08,133725.3717
2021,9,2021-09,132672.6791
2021,10,2021-10,127230.1109
2021,11,2021-11,127878.0802
2021,12,2021-12,128861.9356
2022,1,2022-01,129953.4057
2022,2,2022-02,127327.0124
2022,3,2022-03,125476.4575
2022,4,2022-04,127374.0501
2022,5,2022-05,136343.3856
2022,6,2022-06,139751.1403
2022,7,2022-07,140475.6788
2022,8,2022-08,141778.6025
2022,9,2022-09,136347.9276
2022,10,2022-10,132981.1077
2022,11,2022-11,126753.5854
2022,12,2022-12,129006.5663
2023,1,2023-01,128982.3224
2023,2,2023-02,130147.703
2023,3,2023-03,128808.8414
2023,4,2023-04,128738.4549
2023,5,2023-05,134930.6266
2023,6,2023-06,138176.4137
2023,7,2023-07,138122.3236
2023,8,2023-08,144374.8508
2023,9,2023-09,143185.6279
2023,10,2023-10,125936.369
2023,11,2023-11,126286.3582
2023,12,2023-12,113813.532
