anio,mes,indice_tiempo,produccion_petroleo_promedio_dia_m3
2009,1,2009-01,97924.5991
2009,2,2009-02,100044.0659
2009,3,2009-03,99329.5204
2009,4,2009-04,98880.3859
2009,5,2009-05,98151.9991
2009,6,2009-06,95703.7951
2009,7,2009-07,95772.2757
2009,8,2009-08,84180.7635
2009,9,2009-09,96031.986
2009,10,2009-10,97586.8208
2009,11,2009-11,94307.0595
2009,12,2009-12,94250.9373
2010,1,2010-01,95733.84
2010,2,2010-02,95643.5751
2010,3,2010-03,95914.9473
2010,4,2010-04,95793.2162
2010,5,2010-05,95436.4706
2010,6,2010-06,95919.5417
2010,7,2010-07,95428.4756
2010,8,2010-08,95565.177
2010,9,2010-09,94056.0111
2010,10,2010-10,93009.6351
2010,11,2010-11,93093.0692
2010,12,2010-12,79084.4425
2011,1,2011-01,91891.5101
2011,2,2011-02,92444.8409
2011,3,2011-03,91880.0909
2011,4,2011-04,76677.1377
2011,5,2011-05,80336.3681
2011,6,2011-06,81528.5921
2011,7,2011-07,85724.2598
2011,8,2011-08,90540.1802
2011,9,2011-09,91194.8408
2011,10,2011-10,91832.2348
2011,11,2011-11,91488.6173
2011,12,2011-12,90400.0551
2012,1,2012-01,88423.8778
2012,2,2012-02,88386.976
2012,3,2012-03,88786.0719
2012,4,2012-04,87798.7212
2012,5,2012-05,88548.2351
2012,6,2012-06,84493.3992
2012,7,2012-07,85271.8673
2012,8,2012-08,88703.9536
2012,9,2012-09,88674.8446
2012,10,2012-10,87766.7673
2012,11,2012-11,84566.5153
2012,12,2012-12,86672.5756
2013,1,2013-01,84849.2335
2013,2,2013-02,84863.1086
2013,3,2013-03,85173.1444
2013,4,2013-04,84533.33
2013,5,2013-05,86060.8468
2013,6,2013-06,85695.792
2013,7,2013-07,86613.1562
2013,8,2013-08,86228.8011
2013,9,2013-09,86750.5262
2013,10,2013-10,86940.8428
2013,11,2013-11,86379.4225
2013,12,2013-12,85940.3188
2014,1,2014-01,85715.3195
2014,2,2014-02,85682.9087
2014,3,2014-03,84966.4767
2014,4,2014-04,81825.894
2014,5,2014-05,84013.737
2014,6,2014-06,84284.6946
2014,7,2014-07,83457.5405
2014,8,2014-08,84083.9393
2014,9,2014-09,85790.0369
2014,10,2014-10,85635.4026
2014,11,2014-11,84843.5732
2014,12,2014-12,84973.6595
2015,1,2015-01,84779.9345
2015,2,2015-02,84073.5134
2015,3,2015-03,84500.2168
2015,4,2015-04,84785.7202
2015,5,2015-05,85275.1295
2015,6,2015-06,84843.9542
2015,7,2015-07,84610.0267
2015,8,2015-08,84139.9156
2015,9,2015-09,84406.5101
2015,10,2015-10,85122.6448
2015,11,2015-11,84607.2763
2015,12,2015-12,84612.6301
2016,1,2016-01,83456.9192
2016,2,2016-02,82398.9044
2016,3,2016-03,82935.0195
2016,4,2016-04,82825.6366
2016,5,2016-05,79360.8542
2016,6,2016-06,79585.8667
2016,7,2016-07,81347.9052
2016,8,2016-08,81009.9631
2016,9,2016-09,81544.8172
2016,10,2016-10,81186.7588
2016,11,2016-11,79817.0797
2016,12,2016-12,78654.2997
2017,1,2017-01,79071.608
2017,2,2017-02,77225.017
2017,3,2017-03,77175.8333
2017,4,2017-04,72158.9503
2017,5,2017-05,74696.4942
2017,6,2017-06,73380.0035
2017,7,2017-07,75269.3127
2017,8,2017-08,76159.8065
2017,9,2017-09,77039.4788
2017,10,2017-10,77815.2451
2017,11,2017-11,77736.4594
2017,12,2017-12,77372.2996
2018,1,2018-01,76459.6508
2018,2,2018-02,76766.936
2018,3,2018-03,77484.8631
2018,4,2018-04,77370.4307
2018,5,2018-05,77143.5623
2018,6,2018-06,77077.5162
2018,7,2018-07,76870.4935
2018,8,2018-08,78079.7829
2018,9,2018-09,79269.3466
2018,10,2018-10,79210.8337
2018,11,2018-11,78866.4424
2018,12,2018-12,79296.9861
2019,1,2019-01,79629.706
2019,2,2019-02,79755.5836
2019,3,2019-03,79895.9914
2019,4,2019-04,80718.3111
2019,5,2019-05,80462.8899
2019,6,2019-06,79192.704
2019,7,2019-07,80318.8922
2019,8,2019-08,82576.281
2019,9,2019-09,82219.2754
2019,10,2019-10,81756.5434
2019,11,2019-11,81739.5195
2019,12,2019-12,82210.5613
2020,1,2020-01,81605.7448
2020,2,2020-02,82079.5118
2020,3,2020-03,82431.6684
2020,4,2020-04,73251.9643
2020,5,2020-05,71173.1965
2020,6,2020-06,75079.6684
2020,7,2020-07,74643.5002
2020,8,2020-08,75163.7191
2020,9,2020-09,74833.5772
2020,10,2020-10,75428.0223
2020,11,2020-11,75359.3107
2020,12,2020-12,76278.3079
2021,1,2021-01,77488.7775
2021,2,2021-02,78326.7404
2021,3,2021-03,79080.9466
2021,4,2021-04,79975.7238
2021,5,2021-05,80193.9903
2021,6,2021-06,79906.7781
2021,7,2021-07,81389.212
2021,8,2021-08,80885.9417
2021,9,2021-09,83221.7489
2021,10,2021-10,84746.4544
2021,11,2021-11,87020.3351
2021,12,2021-12,87353.4832
2022,1,2022-01,89016.5662
2022,2,2022-02,88955.8143
2022,3,2022-03,89469.128
2022,4,2022-04,90498.5846
2022,5,2022-05,91658.8094
2022,6,2022-06,91228.2257
2022,7,2022-07,92176.1297
2022,8,2022-08,92863.2173
2022,9,2022-09,94540.0861
2022,10,2022-10,96924.5104
2022,11,2022-11,96814.1665
2022,12,2022-12,97221.1853
2023,1,2023-01,97932.7185
2023,2,2023-02,99723.4367
2023,3,2023-03,100341.0044
2023,4,2023-04,99818.5308
2023,5,2023-05,99842.3312
2023,6,2023-06,98615.5452
2023,7,2023-07,98073.7397
2023,8,2023-08,98899.7214
2023,9,2023-09,101249.5925
2023,10,2023-10,103903.3087
2023,11,2023-11,105964.1426
2023,12,2023-12,107396.217
